iter	RMSE
0	0.8165973272
1	0.8161345109
2	0.8158385628
3	0.8155707402
4	0.8151948705
5	0.8149305278
6	0.8145614127
7	0.8142529205
8	0.8139311817
9	0.8136855581
10	0.8133399567
11	0.8130565351
12	0.812829523
13	0.8125658378
14	0.8122960531
15	0.8122223859
16	0.8120102997
17	0.8117410362
18	0.8115113487
19	0.8112397061
20	0.810992756
21	0.8108125063
22	0.8104692449
23	0.810267005
24	0.809982917
25	0.8098615517
26	0.8096166254
27	0.8093098196
28	0.8091146458
29	0.8088214354
30	0.808620223
31	0.808390554
32	0.8081219791
33	0.8077703167
34	0.8075908075
35	0.8073572061
36	0.8071662934
37	0.8066925845
38	0.8064649805
39	0.8060974006
40	0.8059030803
41	0.8057833838
42	0.8055472612
43	0.8053322919
44	0.8052100562
45	0.8050156332
46	0.8048434732
47	0.8046416809
48	0.8045533778
49	0.8043982478
50	0.8041422975
51	0.8039794468
52	0.8038502178
53	0.8037289578
54	0.8035306528
55	0.8033934347
56	0.8031619319
57	0.8029929366
58	0.8028201796
59	0.8026144444
60	0.8023861444
61	0.8022723496
62	0.8021377415
63	0.8019574642
64	0.8017057567
65	0.8014949661
66	0.8013178158
67	0.8010522799
68	0.8009025633
69	0.8007528112
70	0.8005738167
71	0.8002058905
72	0.8000651167
73	0.7998892978
74	0.7996556624
75	0.7995878088
76	0.7994724434
77	0.7992521498
78	0.799146928
79	0.7990418725
80	0.7989276466
81	0.7987376589
82	0.7986915135
83	0.7985371421
84	0.7983276941
85	0.7980869877
86	0.7978793006
87	0.797812916
88	0.7976583565
89	0.7975625569
90	0.7973041285
91	0.7971654689
92	0.7970352364
93	0.7968562773
94	0.7967205618
95	0.7965921065
96	0.7965483427
97	0.7964470893
98	0.7962716619
99	0.7962214839
100	0.7961029487
101	0.7960037018
102	0.7957900415
103	0.7954627395
104	0.7953603087
105	0.7952384234
106	0.7951866084
107	0.7950952654
108	0.7950074884
109	0.7948209057
110	0.7944345624
111	0.7942995587
112	0.7940436344
113	0.7938198563
114	0.793671076
115	0.7935767627
116	0.793421889
117	0.7933659174
118	0.7933514331
119	0.7932484421
120	0.7931616231
121	0.7929559462
122	0.7926375385
123	0.7925348525
124	0.792380991
125	0.7923087805
126	0.7919670569
127	0.7918846463
128	0.7917803421
129	0.7916237914
130	0.7915424312
131	0.7910705481
132	0.7909479765
133	0.7907971628
134	0.7907090346
135	0.7906358827
136	0.7905385242
137	0.790444509
138	0.7902929191
139	0.7901687863
140	0.7899100302
141	0.7897891237
142	0.7895806915
143	0.7894346768
144	0.7893254999
145	0.7892246512
146	0.7891254161
147	0.7889357552
148	0.7888043575
149	0.7887170791
150	0.7885058842
151	0.7884057562
152	0.7883165707
153	0.7882293037
154	0.7880915797
155	0.7880255712
156	0.7879197844
157	0.7877689733
158	0.7876667829
159	0.7875509565
160	0.7874945949
161	0.7873469493
162	0.787319048
163	0.7871815537
164	0.7870504571
165	0.7868177817
166	0.7867692759
167	0.7866927965
168	0.7865217862
169	0.7864810269
170	0.7864077782
171	0.7863378023
172	0.7861593367
173	0.7858466265
174	0.785845546
175	0.7857514235
176	0.7857061462
177	0.7854921014
178	0.7853803155
179	0.7851325466
180	0.7850826128
181	0.7850205955
182	0.7849398542
183	0.784750261
184	0.7846671976
185	0.7845860012
186	0.784581139
187	0.784545296
188	0.7844327947
189	0.7843473662
190	0.7842853986
191	0.7841640239
192	0.7841470066
193	0.7840256839
194	0.7838694166
195	0.7837617372
196	0.7837028876
197	0.7836363445
198	0.7835696943
199	0.783494143
200	0.7834413885
201	0.7834085735
202	0.7832583151
203	0.7831582619
204	0.7830718598
205	0.783022548
206	0.7830043579
207	0.7829185624
208	0.782912039
209	0.7828557112
210	0.7828285878
211	0.7827462983
212	0.7826682421
213	0.7826225352
214	0.7825218224
215	0.7823549886
216	0.7822946462
217	0.7822701999
218	0.7822050276
219	0.782146399
220	0.7819045471
221	0.7816308241
222	0.7816114945
223	0.7815781574
224	0.7813753288
225	0.781271606
226	0.7812221595
227	0.7811614349
228	0.7810818616
229	0.7810155708
230	0.780965787
231	0.7808735233
232	0.7807906087
233	0.7805122582
234	0.7804796098
235	0.780385036
236	0.7803214143
237	0.7801978709
238	0.7800258728
239	0.7797758836
240	0.7795440439
241	0.7794886734
242	0.7794215592
243	0.7793518751
244	0.7792984831
245	0.7791714769
246	0.779104998
247	0.7790673969
248	0.7789778818
249	0.7788764642
250	0.7785570723
251	0.7784971569
252	0.778454555
253	0.7784215652
254	0.7783683748
255	0.7782912355
256	0.7782284658
257	0.7781370668
258	0.7780456768
259	0.7778794038
260	0.7778304562
261	0.7777443509
262	0.7776484726
263	0.7775779477
264	0.7775121696
265	0.7773166854
266	0.7772538982
267	0.7771590693
268	0.7770186862
269	0.7769521489
270	0.7769110252
271	0.7768242527
272	0.7767864193
273	0.7765052311
274	0.7764762783
275	0.7763599827
276	0.7762779124
277	0.7762153693
278	0.7761940385
279	0.775939506
280	0.7757121564
281	0.7756670882
282	0.7756031868
283	0.7755548939
284	0.7755178257
285	0.7754180234
286	0.7753855341
287	0.7752774061
288	0.7752415079
289	0.7751858106
290	0.7750866244
291	0.7748354213
292	0.7746738457
293	0.7744743825
294	0.7744157267
295	0.7743383461
296	0.774330137
297	0.7741727794
298	0.7741022558
299	0.7740596518
300	0.7740473979
301	0.773996387
302	0.7738559293
303	0.7737756472
304	0.7737323153
305	0.7736232145
306	0.7734714408
307	0.7734149006
308	0.7733330202
309	0.7732513656
310	0.7731786267
311	0.7731451868
312	0.7730817398
313	0.7729578674
314	0.7729217942
315	0.7728770267
316	0.7727179358
317	0.7726880357
318	0.7725623313
319	0.7725290655
320	0.7724522678
321	0.77237014
322	0.7723261374
323	0.7722758916
324	0.772123518
325	0.7720055057
326	0.7719221934
327	0.771857541
328	0.7717260915
329	0.771690644
330	0.7715860815
331	0.7714409541
332	0.771302919
333	0.7712797518
334	0.7712147862
335	0.771138331
336	0.7710218544
337	0.770954647
338	0.7708909973
339	0.7707462302
340	0.770718786
341	0.7706616182
342	0.7706612444
343	0.7706360839
344	0.7705451974
345	0.7704010428
346	0.7702863345
347	0.7701738861
348	0.7700745115
349	0.7699233581
350	0.7698971809
351	0.7698458212
352	0.7698019303
353	0.7697656057
354	0.769765459
355	0.7697099553
356	0.7695551482
357	0.7695128341
358	0.7694518782
359	0.7693796874
360	0.7692770643
361	0.769217729
362	0.7691037615
363	0.7688531744
364	0.7688180078
365	0.7687179976
366	0.7686924747
367	0.7686481825
368	0.7686077492
369	0.768518447
370	0.7684748183
371	0.7684343226
372	0.7682761056
373	0.7681881048
374	0.7681608947
375	0.7681137304
376	0.76804852
377	0.7680170593
378	0.767896209
379	0.7678670632
380	0.7677888676
381	0.7676384793
382	0.7676193136
383	0.7675589279
384	0.7674369599
385	0.7673061824
386	0.7671669076
387	0.7671124589
388	0.7670790993
389	0.7670290484
390	0.7669688459
391	0.7668849384
392	0.7668146813
393	0.7667136279
394	0.7666818885
395	0.7666288174
396	0.7665934835
397	0.7665027919
398	0.7664642514
399	0.7663722255
400	0.7663393977
401	0.7662769073
402	0.7662507373
403	0.7661693138
404	0.7660629545
405	0.7660305904
406	0.7659838775
407	0.765926294
408	0.7658972991
409	0.7658504993
410	0.7657953434
411	0.7656997791
412	0.7655969113
413	0.7655786634
414	0.7653824699
415	0.7653119938
416	0.7650363219
417	0.7649544774
418	0.7649245527
419	0.7648528384
420	0.7648076419
421	0.7647701706
422	0.7646830935
423	0.764657009
424	0.7645598839
425	0.7645323641
426	0.7644043542
427	0.7642830372
428	0.7642369182
429	0.7641956486
430	0.7640862482
431	0.7640523596
432	0.7639707902
433	0.7639015544
434	0.7637982495
435	0.7636380861
436	0.7635265055
437	0.7632625487
438	0.7631282977
439	0.7630789416
440	0.7630403447
441	0.7629613301
442	0.7629091461
443	0.7627921816
444	0.7627158213
445	0.762694571
446	0.7626321482
447	0.7625667127
448	0.7624993842
449	0.7623649416
450	0.7623310627
451	0.7622780369
452	0.7620842482
453	0.7620727408
454	0.7620379555
455	0.761990003
456	0.7619724365
457	0.7618099357
458	0.7617944868
459	0.7617503776
460	0.7616729606
461	0.761661532
462	0.761575104
463	0.7615234707
464	0.761465994
465	0.7613578294
466	0.7613264075
467	0.7612635668
468	0.7612061947
469	0.761194096
470	0.7611782452
471	0.7611663768
472	0.7611014401
473	0.7610965439
474	0.761032042
475	0.7608704459
476	0.7607566325
477	0.7607116773
478	0.7606647737
479	0.7606048421
480	0.760551256
481	0.7604773045
482	0.7603554044
483	0.7602865491
484	0.760254267
485	0.760181207
486	0.7601323733
487	0.7600732468
488	0.7600342985
489	0.7600019999
490	0.7599739047
491	0.7598792823
492	0.7597885079
493	0.7596638682
494	0.7596097218
495	0.7594925306
496	0.7594527855
497	0.7594230284
498	0.7593159306
499	0.7592649007
500	0.7592017156
501	0.75915523
502	0.7591113378
503	0.7590905658
504	0.7590359227
505	0.7590015456
506	0.7588890704
507	0.7588643127
508	0.7587783854
509	0.7586895963
510	0.7586188636
511	0.7585159531
512	0.7584779203
513	0.758433745
514	0.7583560759
515	0.7583213697
516	0.7582496824
517	0.7582263806
518	0.7581856704
519	0.7581368135
520	0.7580981011
521	0.7580745337
522	0.7580167248
523	0.7579711271
524	0.7579360981
525	0.7579204711
526	0.7578705095
527	0.7577947654
528	0.7577446521
529	0.7576647026
530	0.7575597819
531	0.7574179706
532	0.7573780373
533	0.7572897749
534	0.7572696914
535	0.7572570779
536	0.7572296562
537	0.7571886624
538	0.7571400896
539	0.7570573923
540	0.7570519818
541	0.7569961621
542	0.7569805677
543	0.756881378
544	0.7568238179
545	0.7567820572
546	0.7567389519
547	0.7566870784
548	0.7566252072
549	0.7565949549
550	0.7565687474
551	0.756449857
552	0.7562511734
553	0.7561981155
554	0.7561309574
555	0.7561014577
556	0.7560383995
557	0.7560227644
558	0.7559597973
559	0.7559111884
560	0.7558923579
561	0.7558437307
562	0.7558123062
563	0.7557806279
564	0.7557044492
565	0.7556044747
566	0.7555403628
567	0.7554939865
568	0.7554847657
569	0.7554415992
570	0.7553923724
571	0.755378476
572	0.7553148543
573	0.7553070248
574	0.7552953061
575	0.755226331
576	0.7551993592
577	0.7551462945
578	0.7550987569
579	0.7550880921
580	0.7549602989
581	0.7548613545
582	0.7547290838
583	0.7546434337
584	0.7546372795
585	0.7546036291
586	0.7544610767
587	0.7544235071
588	0.7543884878
589	0.7543345872
590	0.754297565
591	0.7542446731
592	0.7542278024
593	0.7541498798
594	0.7541427027
595	0.7540841858
596	0.7540419696
597	0.7539966228
598	0.7539268408
599	0.7538664232
600	0.7538597521
601	0.7537832702
602	0.7537348462
603	0.7536720279
604	0.7536300953
605	0.7535375109
606	0.7534888367
607	0.753472986
608	0.7533439685
609	0.7533361857
610	0.75328671
611	0.7532568483
612	0.7532494283
613	0.7531188508
614	0.7530997524
615	0.7530868126
616	0.752930823
617	0.752844317
618	0.7528340707
619	0.7527237816
620	0.7526959056
621	0.752684784
622	0.7526350769
