iter	Passed	Remaining
0	202	404657
1	241	241075
2	273	182178
3	307	153473
4	337	134526
5	373	124108
6	402	114683
7	437	108988
8	473	104784
9	498	99277
10	532	96195
11	566	93865
12	601	91885
13	633	89913
14	668	88518
15	707	87671
16	743	86745
17	775	85444
18	813	84859
19	850	84197
20	887	83645
21	925	83201
22	959	82465
23	996	82069
24	1034	81735
25	1062	80703
26	1099	80311
27	1132	79794
28	1167	79334
29	1193	78347
30	1223	77688
31	1251	76976
32	1283	76518
33	1319	76296
34	1351	75868
35	1389	75815
36	1423	75517
37	1451	74933
38	1487	74794
39	1524	74718
40	1560	74571
41	1588	74034
42	1623	73889
43	1655	73586
44	1686	73285
45	1720	73103
46	1750	72735
47	1783	72537
48	1813	72223
49	1848	72090
50	1883	71987
51	1916	71813
52	1952	71713
53	1985	71567
54	2020	71464
55	2032	70549
56	2063	70323
57	2096	70213
58	2133	70185
59	2162	69928
60	2196	69810
61	2230	69721
62	2261	69526
63	2295	69426
64	2329	69335
65	2364	69296
66	2399	69224
67	2434	69175
68	2470	69132
69	2507	69122
70	2545	69156
71	2578	69033
72	2611	68939
73	2653	69061
74	2689	69025
75	2725	69000
76	2764	69043
77	2798	68952
78	2829	68799
79	2864	68751
80	2890	68486
81	2921	68338
82	2965	68498
83	3007	68588
84	3034	68355
85	3071	68358
86	3104	68256
87	3135	68122
88	3171	68099
89	3199	67910
90	3229	67753
91	3266	67751
92	3303	67747
93	3343	67796
94	3379	67775
95	3416	67756
96	3453	67755
97	3492	67779
98	3533	67843
99	3574	67910
100	3614	67952
101	3649	67907
102	3687	67906
103	3716	67755
104	3760	67859
105	3801	67933
106	3838	67903
107	3880	67981
108	3921	68025
109	3954	67942
110	3993	67954
111	4027	67884
112	4058	67767
113	4093	67725
114	4133	67747
115	4171	67753
116	4205	67675
117	4244	67692
118	4273	67557
119	4311	67547
120	4348	67525
121	4384	67489
122	4421	67465
123	4461	67492
124	4493	67400
125	4528	67358
126	4566	67340
127	4602	67314
128	4640	67303
129	4670	67188
130	4707	67156
131	4741	67095
132	4776	67052
133	4811	67002
134	4840	66869
135	4874	66812
136	4913	66809
137	4948	66771
138	4984	66734
139	5019	66689
140	5056	66663
141	5088	66576
142	5120	66498
143	5155	66443
144	5188	66380
145	5223	66336
146	5258	66287
147	5290	66199
148	5323	66130
149	5362	66142
150	5394	66051
151	5413	65811
152	5443	65707
153	5477	65654
154	5511	65606
155	5547	65578
156	5589	65609
157	5624	65577
158	5662	65562
159	5699	65544
160	5737	65535
161	5774	65521
162	5811	65494
163	5853	65527
164	5889	65497
165	5926	65479
166	5962	65439
167	5996	65385
168	6034	65380
169	6077	65421
170	6108	65335
171	6146	65326
172	6178	65249
173	6218	65263
174	6252	65199
175	6273	65016
176	6307	64961
177	6338	64878
178	6374	64848
179	6407	64784
180	6444	64760
181	6486	64794
182	6521	64754
183	6531	64460
184	6565	64417
185	6606	64427
186	6639	64371
187	6679	64376
188	6695	64152
189	6704	63865
190	6734	63786
191	6767	63730
192	6800	63670
193	6830	63586
194	6862	63518
195	6902	63531
196	6945	63570
197	6976	63493
198	7019	63523
199	7052	63474
200	7084	63411
201	7117	63349
202	7151	63305
203	7187	63280
204	7196	63011
205	7229	62958
206	7263	62912
207	7297	62866
208	7328	62798
209	7367	62802
210	7400	62749
211	7415	62539
212	7449	62500
213	7488	62500
214	7522	62451
215	7562	62463
216	7601	62457
217	7617	62263
218	7650	62216
219	7684	62171
220	7724	62180
221	7758	62137
222	7789	62071
223	7822	62020
224	7858	61995
225	7891	61945
226	7929	61937
227	7963	61890
228	7990	61791
229	8021	61730
230	8057	61704
231	8092	61667
232	8126	61625
233	8162	61602
234	8197	61566
235	8230	61517
236	8267	61496
237	8306	61499
238	8316	61277
239	8351	61241
240	8384	61197
241	8394	60980
242	8431	60963
243	8465	60926
244	8502	60907
245	8536	60867
246	8546	60658
247	8576	60591
248	8612	60560
249	8646	60527
250	8677	60467
251	8710	60420
252	8720	60214
253	8750	60148
254	8783	60108
255	8821	60094
256	8832	59901
257	8868	59882
258	8900	59831
259	8930	59762
260	8969	59762
261	9003	59725
262	9034	59666
263	9070	59645
264	9103	59604
265	9135	59550
266	9173	59539
267	9205	59494
268	9240	59464
269	9273	59418
270	9307	59385
271	9339	59335
272	9374	59300
273	9406	59255
274	9432	59167
275	9469	59152
276	9502	59105
277	9540	59096
278	9574	59062
279	9609	59029
280	9644	59001
281	9678	58965
282	9713	58930
283	9746	58892
284	9782	58866
285	9818	58841
286	9856	58827
287	9895	58821
288	9933	58811
289	9971	58796
290	10011	58793
291	10044	58756
292	10080	58730
293	10117	58710
294	10155	58694
295	10191	58667
296	10222	58615
297	10254	58567
298	10290	58544
299	10329	58533
300	10362	58490
301	10395	58450
302	10405	58275
303	10414	58102
304	10452	58090
305	10483	58035
306	10517	58000
307	10547	57941
308	10582	57912
309	10623	57916
310	10675	57976
311	10717	57983
312	10758	57983
313	10792	57948
314	10837	57971
315	10873	57947
316	10919	57974
317	10959	57967
318	10994	57934
319	11014	57825
320	11024	57661
321	11061	57642
322	11103	57647
323	11194	57909
324	11234	57899
325	11272	57882
326	11305	57842
327	11343	57822
328	11382	57811
329	11417	57781
330	11451	57740
331	11488	57720
332	11524	57693
333	11564	57682
334	11599	57650
335	11635	57624
336	11651	57495
337	11689	57477
338	11735	57501
339	11773	57484
340	11808	57451
341	11843	57417
342	11883	57408
343	11920	57382
344	11961	57378
345	12003	57378
346	12037	57343
347	12087	57380
348	12124	57358
349	12159	57321
350	12198	57309
351	12234	57281
352	12271	57254
353	12313	57255
354	12356	57255
355	12399	57258
356	12437	57242
357	12471	57202
358	12507	57170
359	12517	57023
360	12550	56983
361	12588	56959
362	12602	56831
363	12642	56821
364	12682	56812
365	12718	56780
366	12756	56759
367	12800	56769
368	12869	56885
369	13061	57539
370	13104	57538
371	13144	57525
372	13180	57490
373	13218	57468
374	13256	57444
375	13291	57409
376	13334	57405
377	13372	57382
378	13405	57336
379	13445	57321
380	13470	57240
381	13513	57238
382	13551	57211
383	13585	57173
384	13621	57140
385	13657	57107
386	13693	57075
387	13728	57038
388	13761	56991
389	13797	56958
390	13832	56923
391	13870	56896
392	13891	56805
393	13926	56764
394	13963	56736
395	14000	56710
396	14038	56684
397	14072	56645
398	14112	56627
399	14153	56614
400	14187	56571
401	14224	56544
402	14258	56505
403	14269	56370
404	14303	56330
405	14333	56273
406	14368	56239
407	14407	56217
408	14443	56183
409	14480	56156
410	14523	56149
411	14564	56136
412	14603	56114
413	14639	56083
414	14671	56035
415	14682	55907
416	14717	55871
417	14759	55860
418	14799	55841
419	14835	55810
420	14875	55792
421	14902	55725
422	14935	55682
423	14968	55639
424	15002	55596
425	15034	55550
426	15067	55506
427	15102	55468
428	15136	55431
429	15166	55376
430	15203	55346
431	15236	55303
432	15276	55283
433	15310	55244
434	15326	55138
435	15359	55098
436	15394	55062
437	15429	55026
438	15465	54992
439	15504	54970
440	15513	54841
441	15546	54800
442	15583	54771
443	15617	54731
444	15650	54690
445	15684	54648
446	15719	54613
447	15753	54574
448	15785	54529
449	15816	54479
450	15852	54447
451	15893	54432
452	15930	54402
453	15965	54368
454	16004	54345
455	16043	54321
456	16076	54279
457	16120	54273
458	16137	54179
459	16168	54129
460	16203	54093
461	16244	54079
462	16294	54091
463	16328	54051
464	16339	53936
465	16369	53886
466	16403	53845
467	16437	53807
468	16445	53683
469	16473	53627
470	16508	53591
471	16542	53552
472	16565	53478
473	16582	53386
474	16615	53344
475	16655	53324
476	16689	53288
477	16724	53252
478	16758	53215
479	16768	53100
480	16803	53064
481	16832	53012
482	16867	52975
483	16900	52935
484	16934	52898
485	16968	52861
486	17002	52824
487	17034	52780
488	17073	52756
489	17102	52704
490	17136	52666
491	17178	52652
492	17209	52606
493	17218	52492
494	17249	52446
495	17282	52405
496	17322	52384
497	17349	52326
498	17389	52306
499	17426	52278
500	17460	52241
501	17496	52210
502	17535	52189
503	17571	52157
504	17606	52121
505	17643	52093
506	17675	52049
507	17709	52013
508	17744	51979
509	17777	51937
510	17813	51905
511	17822	51797
512	17853	51750
513	17889	51720
514	17927	51693
515	17965	51669
516	18009	51658
517	18042	51619
518	18078	51587
519	18115	51560
520	18150	51524
521	18184	51487
522	18195	51385
523	18225	51336
524	18257	51293
525	18296	51270
526	18335	51248
527	18370	51215
528	18386	51127
529	18419	51087
530	18434	50998
531	18471	50969
532	18504	50930
533	18540	50899
534	18579	50875
535	18612	50837
536	18646	50800
537	18682	50770
538	18699	50686
539	18716	50603
540	18753	50574
541	18764	50477
542	18802	50452
543	18834	50410
544	18872	50384
545	18883	50287
546	18919	50255
547	18955	50226
548	18966	50127
549	19000	50092
550	19036	50062
551	19071	50027
552	19107	49996
553	19144	49968
554	19180	49939
555	19217	49909
556	19254	49882
557	19288	49846
558	19322	49809
559	19365	49797
560	19402	49768
561	19440	49742
562	19477	49713
563	19517	49693
564	19554	49664
565	19586	49624
566	19619	49583
567	19651	49544
568	19691	49524
569	19701	49426
570	19750	49427
571	19786	49397
572	19834	49397
573	19877	49381
574	19911	49345
575	19949	49318
576	19988	49294
577	20023	49261
578	20063	49240
579	20106	49225
580	20142	49195
581	20181	49169
582	20192	49077
583	20230	49052
584	20277	49046
585	20315	49021
586	20350	48987
587	20388	48959
588	20515	49145
589	20525	49052
590	20555	49005
591	20586	48961
592	20620	48926
593	20658	48897
594	20690	48856
595	20729	48832
596	20760	48789
597	20801	48768
598	20837	48736
599	20875	48708
600	20906	48666
601	20939	48626
602	20972	48588
603	21006	48552
