GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
남,40.0,5,3,5,4,5,4,2,5,1,3,화성 관광열차 안내소 연무대 매표소,4.0
남,40.0,5,3,5,4,5,4,2,5,1,3,창룡문,4.0
남,40.0,5,3,5,4,5,4,2,5,1,3,수원 화성 화홍문,4.0
남,30.0,3,3,2,4,5,4,3,2,1,21,청량리역 경춘선,5.0
남,30.0,3,3,2,4,5,4,3,2,1,21,청평역 경춘선,5.0
남,30.0,3,3,2,4,5,4,3,2,1,21,경춘선 자전거길,5.0
남,30.0,3,3,2,4,5,4,3,2,1,21,베이커리 시어터,4.0
남,30.0,3,3,2,4,5,4,3,2,1,21,백암천,5.0
남,30.0,3,3,2,4,5,4,3,2,1,21,자시오 잣 주꾸미,4.0
남,30.0,3,3,2,4,5,4,3,2,1,21,마석역 경춘선,5.0
남,30.0,3,3,2,4,5,4,3,2,1,21,청량리역,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,농협안성팜랜드,4.0
여,30.0,3,2,3,3,2,6,4,7,3,22,스타필드 안성,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,대동국수 평택역점,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,편지,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,호텔 프라하,1.0
여,30.0,3,2,3,3,2,6,4,7,3,22,평택 초등학교,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,샤오바오 고덕점,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,평택시 농업 생태원,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,평택시 로컬푸드 재단,5.0
여,30.0,3,2,3,3,2,6,4,7,3,22,시흥 하늘휴게소 양방향,5.0
여,30.0,5,4,3,2,5,4,5,3,8,6,진주 시외버스터미널,3.0
여,30.0,5,4,3,2,5,4,5,3,8,6,서울 남부터미널,4.0
여,30.0,5,4,3,2,5,4,5,3,8,6,롯데리아 남부터미널점,4.0
여,30.0,5,4,3,2,5,4,5,3,8,6,다이소 남부터미널점,4.0
여,30.0,5,4,3,2,5,4,5,3,8,6,충무아트센터 대극장,4.0
여,30.0,5,4,3,2,5,4,5,3,8,6,스탠더드 커피,5.0
여,30.0,5,4,3,2,5,4,5,3,8,6,연신내 칼국수,4.0
여,30.0,5,4,3,2,5,4,5,3,8,6,독립문,4.0
여,30.0,5,4,3,2,5,4,5,3,8,6,롯데월드 샤롯데씨어터,5.0
여,30.0,5,4,3,2,5,4,5,3,8,6,미사리밀빛초계국수 롯데월드점,5.0
여,30.0,5,4,3,2,5,4,5,3,8,6,롯데월드 샤롯데씨어터,5.0
여,30.0,5,4,3,2,5,4,5,3,8,6,서울고속버스터미널(경부),4.0
여,60.0,3,3,3,4,2,4,6,6,3,6,서울역 1호선,4.0
여,60.0,3,3,3,4,2,4,6,6,3,6,인사동 문화의 거리,5.0
여,60.0,3,3,3,4,2,4,6,6,3,6,꽃밥에 피다,2.0
여,60.0,3,3,3,4,2,4,6,6,3,6,후후 라운지,3.0
여,60.0,3,3,3,4,2,4,6,6,3,6,IFC 몰,4.0
여,60.0,3,3,3,4,2,4,6,6,3,6,교대 이층집 여의도점,4.0
여,60.0,3,3,3,4,2,4,6,6,3,6,"서울랜드, 국립현대미술관",5.0
여,60.0,3,3,3,4,2,4,6,6,3,6,동원 홈 푸드라운지 국립 현대미술관점,4.0
여,60.0,3,3,3,4,2,4,6,6,3,6,광명역,4.0
여,60.0,3,3,3,4,2,4,6,6,3,6,삼진 어묵 부산역 광장점,4.0
여,20.0,6,1,1,2,6,2,1,2,3,1,정안 알밤 휴게소 천안 방향,5.0
여,20.0,6,1,1,2,6,2,1,2,3,1,파주 프리미엄 아울렛,5.0
여,20.0,6,1,1,2,6,2,1,2,3,1,이마트 파주점,4.0
여,20.0,6,1,1,2,6,2,1,2,3,1,해브펀 캠핑 어라운드,5.0
여,20.0,6,1,1,2,6,2,1,2,3,1,이케아 광명점,5.0
여,20.0,6,1,1,2,6,2,1,2,3,1,지중해마을,4.0
남,60.0,3,3,2,2,2,4,2,6,3,2,에버랜드,5.0
남,20.0,6,3,3,4,3,6,6,5,3,7,스타필드 코엑스몰,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,정안 알밤 휴게소 천안 방향,3.0
남,20.0,6,3,3,4,3,6,6,5,3,7,전주 고속버스터미널,3.0
남,20.0,6,3,3,4,3,6,6,5,3,7,아차산 김가네 맛집,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,서울어린이대공원,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,스타벅스 아차산역,3.0
남,20.0,6,3,3,4,3,6,6,5,3,7,명륜 진사갈비 서울 중곡점,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,에인절 코인 노래연습장 건대점,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,코지에 FunCity,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,엑스 클라임 건대점,5.0
남,20.0,6,3,3,4,3,6,6,5,3,7,아웃 닭 건대점,5.0
남,20.0,6,3,3,4,3,6,6,5,3,7,서피 동파,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,에코 코인 노래연습장,3.0
남,20.0,6,3,3,4,3,6,6,5,3,7,합정옥,5.0
남,20.0,6,3,3,4,3,6,6,5,3,7,동양 방앗간,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,북촌 한옥마을,4.0
남,20.0,6,3,3,4,3,6,6,5,3,7,낙원악기상가,3.0
남,20.0,6,3,3,4,3,6,6,5,3,7,센트럴시티터미널(호남),4.0
남,30.0,2,6,2,4,5,6,6,1,1,1,현대 프리미엄 아울렛 김포점,4.0
남,30.0,2,6,2,4,5,6,6,1,1,1,롯데몰 김포공항점,4.0
여,40.0,2,1,2,7,4,1,2,2,1,2,미소야 일산 화정점,5.0
여,40.0,2,1,2,7,4,1,2,2,1,2,고양어린이 박물관,5.0
여,40.0,5,2,2,3,5,3,4,2,2,21,본가신숙희 진골막국수,5.0
여,40.0,5,2,2,3,5,3,4,2,2,21,아침고요 수목원,5.0
여,40.0,5,2,2,3,5,3,4,2,2,21,나무 아래 오후 N,5.0
여,40.0,5,2,2,3,5,3,4,2,2,21,파르티아 워터하우스,4.0
여,40.0,5,2,2,3,5,3,4,2,2,21,가평군 농협 하나로마트 설악점,4.0
여,40.0,5,2,2,3,5,3,4,2,2,21,파르티아 워터하우스,4.0
여,40.0,5,2,2,3,5,3,4,2,2,21,연청 국장,5.0
여,40.0,5,2,2,3,5,3,4,2,2,21,가평 양떼목장,5.0
여,40.0,5,2,2,3,5,3,4,2,2,21,윤명로,3.0
여,40.0,5,2,2,3,5,3,4,2,2,21,카페 아우라,4.0
여,40.0,5,2,2,3,5,3,4,2,2,21,화도 졸음쉼터 양양 방향,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,남도 사골 순댓국 본점,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,스타벅스 화성 남양 DT점,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,호텔 헤르메스,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,마시다 초밥 이자카야,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,준코인 노래연습장,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,호텔 헤르메스,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,현대자동차 남양기술연구소 후문,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,서울역,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,머슴 고기 화성 시청 본점,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,티 카페 차희,5.0
남,20.0,6,2,6,2,2,2,6,2,2,24,남양성모성지,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,현대자동차 남양기술연구소 후문,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,수원역,4.0
남,20.0,6,2,6,2,2,2,6,2,2,24,용산역,4.0
남,40.0,1,1,4,3,1,6,6,6,3,2,향유 갈비,5.0
남,40.0,1,1,4,3,1,6,6,6,3,2,허브아일랜드,4.0
남,40.0,1,1,4,3,1,6,6,6,3,2,소요산,4.0
남,60.0,4,1,2,1,1,4,5,1,3,4,서울 시티투어버스,3.0
남,60.0,4,1,2,1,1,4,5,1,3,4,나주 소 나주곰탕 경복궁점,3.0
남,60.0,4,1,2,1,1,4,5,1,3,4,광화문광장,5.0
남,60.0,4,1,2,1,1,4,5,1,3,4,스타벅스 광화문점,5.0
남,60.0,4,1,2,1,1,4,5,1,3,4,경복궁,5.0
여,40.0,2,6,6,2,2,6,6,1,3,22,꼬꼬 오리주물럭,5.0
여,40.0,2,6,6,2,2,6,6,1,3,22,캐널시티,4.0
여,40.0,2,6,6,2,2,6,6,1,3,22,포지티브 스페이스 566,3.0
남,50.0,2,7,1,5,2,6,5,3,5,21,용산역,5.0
남,50.0,2,7,1,5,2,6,5,3,5,21,가평역 경춘선,5.0
