TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e004720,41,여,60,4,1,3,3,11,,4,9,2,2,11,11500,47,47760,41,41390,2,4,4,4,4,4,5,5,경기도,서울,2인 가족 여행,2023-07-16~2023-07-16,2,6,,1
e000914,30,여,20,6,1,1,1,3,,4,,3,2,45,45110,26,26230,11,11650,3,6,2,3,2,2,4,1,대전광역시,서울,나홀로 여행,2023-06-03~2023-06-03,1,7,10,0
e003564,41,여,30,7,1,2,4,2,,7,12,2,2,42,42210,48,48840,41,41480,1,1,1,3,2,1,1,7,경기도,경기,자녀 동반 여행,2023-06-24~2023-06-24,8,3,7,3
e000396,41,여,30,6,1,2,2,2,,2,5,2,1,50,50110,42,42150,44,44825,3,1,2,5,6,6,1,6,경기도,인천,2인 가족 여행,2023-05-20~2023-05-21,9,1,7,1
e001890,11,남,20,6,1,1,4,3,,5,9,3,4,42,42210,26,26320,50,50110,6,3,2,3,6,3,5,6,서울특별시,경기,2인 여행(가족 외),2023-06-04~2023-06-04,3,1,5,1
e007797,41,남,30,6,1,1,3,3,,5,8,3,4,26,26290,50,50110,50,50130,2,1,2,2,1,1,4,6,경기도,경기,나홀로 여행,2023-08-31~2023-08-31,1,8,7,0
e003039,41,여,30,6,1,2,4,5,,11,12,2,1,41,41820,42,42830,42,42150,2,1,7,2,2,7,4,5,경기도,경기,나홀로 여행,2023-06-16~2023-06-17,2,,,0
e000782,41,남,50,7,1,2,3,2,,5,9,2,1,42,42150,41,41450,11,11710,4,7,7,2,5,7,1,2,경기도,서울,3인 이상 여행(가족 외),2023-05-27~2023-05-27,5,3,1,2
e008478,11,여,20,5,1,1,1,12,,1,,3,4,46,46790,11,11110,50,50110,2,2,2,2,4,4,6,3,서울특별시,경기,2인 여행(가족 외),2023-08-26~2023-08-26,10,7,3,1
e000655,11,남,50,6,1,1,1,4,,3,,2,2,11,11500,28,28245,50,50110,3,2,2,4,3,5,3,2,서울특별시,경기,나홀로 여행,2023-05-20~2023-05-22,2,6,10,0
e006837,41,여,60,5,1,2,4,9,,4,7,3,5,50,50130,42,42210,26,26230,5,4,5,2,4,5,2,7,경기도,경기,자녀 동반 여행,2023-08-18~2023-08-18,1,5,,1
e008666,27,남,40,4,1,2,4,4,,4,4,2,1,26,26350,11,11680,47,47770,1,1,6,2,6,6,6,5,대구광역시,서울,나홀로 여행,2023-08-24~2023-08-24,1,7,5,0
e002058,41,남,60,6,1,2,2,2,,3,6,3,2,50,50110,26,26350,42,42150,1,7,1,1,1,7,7,7,경기도,경기,3인 이상 여행(가족 외),2023-06-02~2023-06-03,3,2,1,5
e010598,30,여,20,6,3,1,2,12,,2,4,3,3,11,11110,42,42820,27,27110,3,2,2,2,2,6,6,7,대전광역시,서울,2인 여행(가족 외),2023-08-24~2023-08-24,2,3,7,1
e007838,30,여,30,6,1,1,1,3,,3,,3,6,11,11170,11,11440,11,11110,7,6,7,7,7,6,2,6,대전광역시,서울,나홀로 여행,2023-08-28~2023-08-28,8,1,5,0
e007403,41,여,20,8,1,1,1,2,,5,,3,2,11,11140,11,11215,11,11350,6,6,4,3,4,5,2,6,경기도,서울,3인 이상 여행(가족 외),2023-08-20~2023-08-20,1,3,2,3
e007169,41,여,40,6,1,2,3,11,,1,8,2,3,42,42830,47,47930,41,41830,2,2,1,6,6,5,4,6,경기도,서울,자녀 동반 여행,2023-08-16~2023-08-16,8,7,3,1
e001267,41,남,40,6,1,2,2,2,,7,7,2,1,11,11110,50,50110,46,46130,4,3,2,3,2,5,2,6,경기도,경기,2인 여행(가족 외),2023-06-03~2023-06-03,1,7,3,1
e005765,41,남,40,6,1,1,1,2,,5,,3,4,11,11110,11,11215,50,50110,4,2,3,2,3,5,4,2,경기도,서울,2인 여행(가족 외),2023-07-27~2023-07-27,2,3,7,1
e001538,41,남,40,4,3,2,2,2,,4,6,3,4,31,31110,26,26500,42,42170,2,1,1,4,1,1,1,7,경기도,경기,3인 이상 여행(가족 외),2023-06-03~2023-06-04,2,3,1,5
e000608,47,여,20,6,1,1,3,12,,3,7,2,3,11,11440,26,26350,47,47110,4,2,4,4,5,4,6,6,경상북도,서울,나홀로 여행,2023-05-22~2023-05-23,7,4,2,0
e003810,28,여,30,7,1,2,2,3,,7,12,2,1,50,50130,42,42150,47,47130,1,1,1,1,1,1,1,6,인천광역시,경기,2인 가족 여행,2023-07-01~2023-07-01,2,3,5,1
e010900,11,남,20,6,2,1,4,12,,1,3,3,5,41,41150,41,41820,26,26350,3,1,5,3,3,4,5,3,서울특별시,경기,2인 여행(가족 외),2023-09-01~2023-09-01,1,3,7,1
e002491,41,남,20,5,1,1,4,7,,5,9,3,4,50,50110,41,41830,42,42150,5,5,5,6,6,6,6,6,경기도,경기,2인 여행(가족 외),2023-06-23~2023-06-24,2,3,1,1
e000556,11,남,30,6,1,1,3,3,,6,11,3,5,50,50130,42,42150,26,26350,3,2,2,2,2,3,5,6,서울특별시,경기,부모 동반 여행,2023-06-06~2023-06-06,1,3,7,2
e002389,11,여,60,4,1,2,2,11,,3,4,3,5,42,42170,41,41280,41,41570,5,4,5,4,2,4,5,3,서울특별시,경기,2인 가족 여행,2023-06-07~2023-06-07,6,3,1,1
e003334,11,남,30,6,1,1,1,3,,5,,3,2,42,42210,26,26350,42,42150,6,2,6,2,2,4,7,4,서울특별시,경기,나홀로 여행,2023-07-02~2023-07-02,7,1,,0
e007807,41,여,40,6,1,2,4,13,,7,12,1,1,50,50130,42,42210,26,26350,3,3,3,3,5,2,2,6,경기도,서울,2인 여행(가족 외),2023-08-22~2023-08-22,1,6,7,1
e005532,11,남,50,7,1,2,3,11,,1,9,2,1,50,50110,41,41830,42,42210,4,4,4,4,7,4,1,7,서울특별시,경기,3인 이상 여행(가족 외),2023-07-31~2023-08-01,1,3,2,3
e003175,41,여,30,6,1,2,4,13,,3,7,3,4,42,42210,42,42760,50,50130,2,1,2,1,2,2,6,6,경기도,경기,자녀 동반 여행,2023-06-26~2023-06-27,10,,,3
e001098,11,여,30,7,1,1,3,3,,4,11,2,1,42,42210,41,41480,26,26500,6,2,3,4,5,2,5,4,서울특별시,경기,2인 여행(가족 외),2023-05-29~2023-05-29,1,3,2,1
e000627,41,남,40,7,1,2,4,3,,5,8,3,4,41,41110,28,28185,42,42150,6,4,3,2,3,5,2,5,경기도,인천,나홀로 여행,2023-05-19~2023-05-20,2,1,4,0
